model,pass,total,u_L,u_r,u_d,MAE
phys6,5,30,0.4408261150536457,0.12240215640530121,0.296865273277988,0.18069753889977086
owics,1,30,0.25468908619109787,0.12532145122424782,0.3134329011874999,0.5062338914795974
H0_et_baseline,9,30,0.25468908619109787,0.11793401625422344,0.3334808310804682,0.12067522019705035
H1_d0cal,9,30,0.033029309090681996,0.11793401625422344,0.24569742393257546,0.10865141187075374
H2_cluster,8,30,0.033029309090681996,0.1236276246441521,0.2463977314589734,0.10979612424022578
H3_ab_trend,9,30,0.033029309090681996,0.12114961619455852,0.25741694320345004,0.11299385397933999
