version,pass,total,u_L,u_r,u_d,MAE
phys6,5,30,0.4408261150536457,0.12240215640530121,0.296865273277988,0.18069753889977086
phase1_multiobj,9,30,0.18020279016536808,0.11276422005638946,0.2737505942964198,0.10827368041926604
phase2_calib,9,30,0.16751113313816826,0.11281143056973464,0.2936438246036597,0.12241141310666477
phase3_shrink,9,30,0.16751113313816826,0.11985124810988226,0.2987611010681167,0.12290480418096186
