model,pass,total,u_L,u_r,u_d,MAE
phys6,5,30,0.4408261150536457,0.12240215640530121,0.296865273277988,0.18069753889977086
owics,1,30,0.25468908619109787,0.12532145122424782,0.3134329011874999,0.5062338914795974
M0_baseline,5,30,0.43435226492892726,0.12240215640530121,0.5227126152906537,0.18089548313555062
M1_d0cal,6,30,0.43435226492892726,0.12240215640530121,0.4572833920365936,0.1508005459642379
M2_abcomp,6,30,0.25468908619109787,0.12276659772072589,0.32290684464955094,0.18727477169563608
M3_full,10,30,0.43435226492892726,0.11829982980483925,0.4243340359826056,0.149597135826169
