evaluation,mae_pct,mean_error_pct,group_pass,group_total,u_nor_L_pct,u_nor_r_pct,u_nor_d_c_pct,u_nor_d_r_pct,u_nor_d_pct,target_L_pass,target_r_pass,target_d_pass
phys6_base,0.18069753889977105,-0.136498265914023,5,30,0.4408261150536468,0.12240215640530114,0.25671104803553024,0.14909201284747928,0.2968652732779859,False,False,False
apparent_train,0.09632571611603241,7.317317281321667e-05,6,30,0.052125663679696996,0.1337539420451088,0.16130371043345876,0.15817552422533732,0.2259167622456585,False,False,False
leave_one_date_out,0.5356071187882666,0.34918483703347386,3,30,6.647130774500722,0.23477817710314375,3.9835862856870716,0.2034249398778736,3.9887769305488163,False,False,False
