method,window_count,mae_pct,mean_error_pct,max_abs_error_pct
phys6,159,0.180652954627,-0.136423561078,0.495146289297
owics,159,0.50623728673,0.50623728673,1.00072655749
lagrange,159,0.183613087911,-0.00792957695107,0.644012096321
equal_weight,159,0.637291548331,0.637291548331,1.08360338206
