date,flow_point,n,mean_error_pct,sd_pct,pass_group,disturbance_id
20260607,60,3,-0.14742045169910956,0.02333145102661755,True,D0
20260608,60,5,-0.1297907116730701,0.05877359549946692,False,D7
20260608,70,3,-0.029364540477616607,0.045485416045358475,False,D7
20260609,50,3,-0.281942039428551,0.06227775494954611,False,D5
20260609,60,5,-0.23506083789676557,0.04308433501757042,False,D5
20260609,70,4,-0.1699240362430493,0.03056450732621169,True,D5
20260610,70,3,-0.07470353328075478,0.033513429924043485,True,D6
20260612,20,3,-0.032587349578287274,0.0589992531896913,False,D8
20260612,40,3,-0.10689752142205577,0.014240686871355735,True,D8
20260612,50,3,0.014365959757589586,0.044057005269356915,False,D8
20260612,60,3,-0.08173450311077894,0.07502461391265176,False,D8
20260612,70,3,-0.080373167895272,0.10914350381369202,False,D8
20260613,20,4,0.09307697059545705,0.10085468512009203,False,D4
20260613,30,5,0.1290855696049098,0.11645217465492726,False,D4
20260613,40,4,0.1279026286877899,0.09093366193392592,False,D4
20260613,50,4,0.03505693182596914,0.11966917606892494,False,D4
20260613,60,5,0.11434277921394287,0.08555868356361367,False,D4
20260613,70,6,0.07929548922068763,0.08879378484797348,False,D4
20260614,20,4,-0.021500695904477785,0.025190857653042,True,D3
20260614,30,4,0.0011844825746010201,0.0653001286355094,False,D3
20260614,40,5,0.010839012506980161,0.04946477418755566,False,D3
20260614,50,3,-0.020355991740169294,0.00895809255459162,True,D3
20260614,60,5,-0.016035778079088736,0.02916905903968338,True,D3
20260614,70,6,0.05228129168082981,0.062149464503191795,False,D3
20260615,20,4,0.11351564796261981,0.062444622088150284,False,D1
20260615,30,4,0.07246798773231367,0.06322244026820223,False,D1
20260615,40,4,0.1341922809911078,0.04141324782901589,False,D1
20260615,50,5,0.12489815258718728,0.042775405295958885,False,D1
20260615,60,6,0.08361980955864563,0.08567555751447073,False,D1
20260615,70,5,0.0752774079780405,0.04889597724869232,False,D1
