evaluation,mae_pct,mean_error_pct,group_pass,group_total,u_nor_L_pct,u_nor_r_pct,u_nor_d_c_pct,u_nor_d_r_pct,u_nor_d_pct,target_L_pass,target_r_pass,target_d_pass
phys6_base,0.18069753889977105,-0.136498265914023,5,30,0.4408261150536468,0.12240215640530114,0.25671104803553024,0.14909201284747928,0.2968652732779859,False,False,False
apparent_train,0.05670849591110457,2.3951439127910878e-05,13,30,0.055479018004127086,0.0978834119355468,0.1132852575486947,0.11443756442631078,0.161026413143,False,False,False
leave_one_date_out,0.11474958461518743,-0.018192729980540553,9,30,0.20288171219213905,0.11603184917526202,0.24245505707163528,0.13849539551447235,0.2792229024960525,False,False,False
