date,flow_point,n,mean_error_pct,sd_pct,pass_group,disturbance_id
20260607,60,3,-0.00986872848263524,0.0029238314482346265,True,D0
20260608,60,5,-0.005379721965634854,0.027928294951338906,True,D7
20260608,70,3,0.005159217965589047,0.016774081603642833,True,D7
20260609,50,3,-0.013379125178973142,0.02079172395946447,True,D5
20260609,60,5,0.0014447794569671935,0.01294967111276975,True,D5
20260609,70,4,-0.001521438032886513,0.008493000567334092,True,D5
20260610,70,3,-0.004438052768673817,0.00942708444043769,True,D6
20260612,20,3,-0.0020057662993326155,0.028783382849152783,True,D8
20260612,40,3,-0.008343081011145484,0.00788293343208771,True,D8
20260612,50,3,0.008741979286915521,0.02247887330674279,True,D8
20260612,60,3,-0.01151171216678959,0.015756157417473885,True,D8
20260612,70,3,-0.011098546220866812,0.026557657987287504,True,D8
20260613,20,4,0.004923650106006261,0.024789030875443627,True,D4
20260613,30,5,0.01742168798243071,0.022732704855506616,True,D4
20260613,40,4,0.0050524399910129025,0.016710303921104445,True,D4
20260613,50,4,-0.004469163811887666,0.013080411058966459,True,D4
20260613,60,5,0.005362179338896933,0.011851223103249053,True,D4
20260613,70,6,0.004449943221916201,0.01845526387566464,True,D4
20260614,20,4,-0.004820415337367101,0.007109469707566552,True,D3
20260614,30,4,0.002317680085545115,0.013852533769727862,True,D3
20260614,40,5,0.0010978107698056405,0.02409759692412841,True,D3
20260614,50,3,-0.0003131315331213654,0.0050856022158558365,True,D3
20260614,60,5,-0.001574483044832764,0.010832619398492739,True,D3
20260614,70,6,0.004194070719095351,0.019570348750240933,True,D3
20260615,20,4,0.01244668727276299,0.009970116160562512,True,D1
20260615,30,4,0.0007746701453453797,0.006216272470377299,True,D1
20260615,40,4,0.011459662698432016,0.011550410400807284,True,D1
20260615,50,5,0.006062116988572175,0.010563851336532313,True,D1
20260615,60,6,-0.0006339452040260429,0.029061939660299105,True,D1
20260615,70,5,0.0008578664289538018,0.002435443965947155,True,D1
