MAE,pass,total,u_L,u_r,u_d,model
0.18069753889977086,5,30,0.4408261150536457,0.12240215640530121,0.296865273277988,phys6
0.16650948921111547,8,30,0.2733495219470004,0.12185660157460788,0.29735527440064613,dynamic_weights
