fold,test_date,alpha,inner_pass,mean_abs_corr_pct,max_abs_corr_pct
1,20260607,1000.0,8,0.15247123378949679,0.15863225335208264
2,20260608,1000.0,10,0.08803958494457453,0.09906748284444852
3,20260609,10.0,7,0.09499614041042427,0.1451750766351065
4,20260610,1000.0,6,0.13266174346974555,0.19841945266213082
5,20260612,1000.0,6,0.12189336037349031,0.17328628333148552
6,20260613,1000.0,9,0.17557428724978433,0.25161156806623924
7,20260614,1000.0,7,0.17907409332262456,0.22439889792365242
8,20260615,1000.0,4,0.19044876371717384,0.2741500494428731
