model,pass,total,u_L,u_r,u_d,MAE
phys6,5,30,0.4408261150536457,0.12240215640530121,0.296865273277988,0.18069753889977086
final,10,30,0.25468908619109787,0.12144435584403421,0.3264089454358665,0.11682566663262388
