model,pass,total,u_L,u_r,u_d,MAE
phys6,5,30,0.4408261150536457,0.12240215640530121,0.296865273277988,0.18069753889977086
h1_finegrained,7,30,0.033029309090681996,0.11145435209856794,0.28589567821788686,0.1306479961237363
