window_id,ts_q_cv,ts_q_mad_rel,ts_q_iqr_rel,ts_q_drift_rel,ts_q_tv_step_rel,ts_q_lag1,ts_q_start_over_plateau,ts_q_end_over_plateau,ts_q_plateau_cv,ts_q_spike_frac,ts_channel_cv_mean,ts_channel_cv_max,ts_channel_plateau_cv_mean,ts_channel_drift_abs_mean,ts_channel_tv_mean,ts_pair_corr_mean,ts_pair_corr_min,ts_diff_top_bottom_std,ts_diff_top_bottom_drift,ts_diff_inner_skew_std,ts_diff_inner_skew_drift,ts_diff_center_edge_std,ts_diff_center_edge_drift,ts_diff_alternating_std,ts_diff_alternating_drift
updated_20260607_home__20260607_093346,0.174316695670508,0.00616827460719374,0.01837342860273423,0.12780150920704852,0.017938368067926393,0.9587904986535163,-0.23108927685347658,-0.1022636649461679,0.0053336228066289,0.24083769633507854,0.17884089090957062,0.19535650767075194,0.019539204531207884,0.12822228863609936,0.03264435790183494,0.9495221524492635,0.8700462753715069,0.12437079482180091,0.0268668756600851,0.09996087345981773,-0.030493869429742602,0.14007375049570403,0.0924572792428302,0.11515241074656622,0.057360745089827685
updated_20260607_home__20260607_104833,0.26959752323289904,0.010453783076146476,0.025300891454208226,-0.11673700059858386,0.023837431414713717,0.9864474018385593,-0.22883600041668717,-0.33441936554770946,0.012886686287214686,0.23275862068965517,0.27118507739703995,0.2738209855354341,0.019510616940676666,0.11692114199650276,0.03190381653215158,0.9903818814355472,0.9753910759662343,0.5001873308444256,0.037395649576818846,0.26997447233259775,0.14717452026495303,0.198635270288219,-0.10390479432863645,0.46840125133022575,-0.10977887068813413
updated_20260607_home__20260607_111129,0.23040715082921603,0.007147873407008872,0.014251877978522745,0.028762638636243554,0.019807688457059137,0.9829886280287949,-0.24150435263022407,-0.2113140564703464,0.00621450417853481,0.20634920634920634,0.23136179350475589,0.23405905782899328,0.01633276620242849,0.02881734470926481,0.030049280879467743,0.9942862844058256,0.9866321798848853,0.06399874681511698,0.01724587740953367,0.049720923113655,-0.006241497489758802,0.23649486311665335,0.14838169063486975,0.06889467285745952,0.023487374899292476
updated_20260607_home__20260607_113256,0.2342389441900706,0.006607118634743129,0.04057124232907092,0.022795772030025505,0.017599478503232704,0.9838472206240922,-0.24786515254106356,-0.2200455925099053,0.0052286803139341255,0.2695035460992908,0.23648650414291947,0.24032200330854817,0.017554192674114583,0.022974697346510795,0.030029406361225724,0.9930252081845067,0.9819649514392161,0.3041506668071336,0.22655846098701687,0.20944865860535422,0.15020268414682383,0.21528737926436953,0.16659781608091662,0.14126345699290443,0.07635577684019307
updated_20260607_home__20260607_115557,0.18313639080789787,0.005415732760876358,0.013030373585979318,0.06391334262715456,0.01627619797074403,0.9704231981428083,-0.1908672035586393,-0.12743042069304933,0.004810672565076685,0.1870967741935484,0.18432592327255862,0.18539732562590383,0.015612254595426839,0.0639502575252557,0.027053480771047196,0.9902569079030508,0.97754754214787,0.0546469421932915,-0.033587164535439314,0.07151977827710396,-0.04064634596715637,0.13946670235998576,0.0776172038838504,0.06561053499058192,0.00705918143171705
updated_20260607_home__20260607_122116,0.17763204687312215,0.004700213247114297,0.009727395398473027,0.01591725182681953,0.013873726435016411,0.9686400997784819,-0.1482152184782315,-0.12779079107723545,0.004983539210493694,0.17297297297297298,0.17932740022475507,0.18164557879874804,0.01902456556628614,0.015920080072638555,0.030744828013842068,0.9840066426861636,0.9580834541959852,0.291501590213611,0.14777864320739834,0.23513804828042734,0.11806389394033037,0.05721649202171991,0.0005056141699902463,0.11098630507986007,0.029714749267067964
updated_20260607_home__20260607_124409,0.18889535282258943,0.003589484885472446,0.007798041778108146,-0.06763586539727669,0.015555172508885875,0.963609096526269,-0.07573908464655077,-0.1262357975581394,0.0037075265197835765,0.20346320346320346,0.19080758267056883,0.19461443874269616,0.02046608339993902,0.0678588325515386,0.03303742667815657,0.9846888737458924,0.964133765994789,0.20792409556154715,0.10510832279653204,0.178525844534416,0.10963780905600835,0.21133594191581692,0.1647742614645488,0.12072109335824759,-0.004529486259476305
updated_20260607_home__20260607_133216,0.2501365609447266,0.020782173623770866,0.08096041514482673,-0.0060127397262695025,0.02356480208724123,0.9844757292194835,-0.25723316903388327,-0.2817302633360177,0.03375043479938596,0.17647058823529413,0.25194518845293745,0.2529210760448521,0.03770752523688486,0.007910853275610318,0.0336807632193572,0.9875628765458726,0.9735858352973011,0.41312807274256536,-0.29412475461301857,0.12894742620891392,-0.06364325825750099,0.16411626775702712,-0.0720189616232383,0.44396729358661363,-0.23048149635551768
updated_20260607_home__20260607_135505,0.2853911753077051,0.009617476567876737,0.08463200510827128,-0.10572971246990599,0.018707167700368028,0.9903821498456096,-0.2933110884750031,-0.3907048014368212,0.01036523238493071,0.28346456692913385,0.2880544305398566,0.2895179613963037,0.018513159990210838,0.10671199993066974,0.028892948538802567,0.9966689151619464,0.992170043669884,0.3594225223152791,0.17186557375218997,0.38516606733710174,0.099423762205325,0.36245305017231244,-0.32394699487304607,0.37554423517161784,0.07244181154686492
updated_20260607_home__20260607_141757,0.22566684618248908,0.008192682832426697,0.018321236657120134,0.03963994218588354,0.017685452425749187,0.9817112302044628,-0.24300079698675514,-0.1961007369371437,0.006824118883919919,0.21014492753623187,0.22717797576813878,0.22924313141673508,0.018291938528899647,0.03969622085013998,0.030104377428484264,0.9928081184554086,0.982152100557769,0.19670218448132795,0.14245625540820236,0.2568700003884365,0.1443532501285984,0.1796310948019871,0.14287197136674057,0.11515447457664933,-0.0018969947203960648
updated_20260608_home__20260608_090825,0.2507843256808634,0.007373717365120379,0.024308216051149672,-0.0417334014403685,0.020724928108568266,0.9863710029162668,-0.25255076121938236,-0.2865591313157533,0.007710932388170275,0.216,0.2515611329452757,0.2536315995918756,0.01562294606726967,0.04188316332670246,0.027150141926514125,0.9958866337443345,0.9914553903910726,0.2054896543147584,0.03851308573239209,0.1957117244418425,-0.09571347552172646,0.22952505681432248,0.10844053671953809,0.11023821468057349,0.13422656125411853
updated_20260608_home__20260608_093103,0.2253175956109324,0.006845901948874096,0.013475338106980284,-0.07473755996639593,0.01635581770067985,0.98237544159711,-0.16237070727640313,-0.22249174943098704,0.007645821469507672,0.17834394904458598,0.22592515206098515,0.2283815783748328,0.01502800581544737,0.07484770883461671,0.024616173576601907,0.9945156130227171,0.9867015438424382,0.4601075032561727,0.0036374765230085815,0.044584399316041405,0.013159799764420521,0.19323648999227952,0.1461731506912668,0.46807190023675777,-0.009522323241411853
updated_20260608_home__20260608_103248,0.16784289219040718,0.004131277917028316,0.008131006063053732,-0.01923198971983818,0.012021380769577282,0.9608487886057521,-0.08692424217119721,-0.10189251875081484,0.004325340725488182,0.08888888888888889,0.1688376342426301,0.170821557166946,0.01563133572725727,0.019056542434371847,0.02296122349114075,0.9874434265211258,0.9719374951171904,0.09412039724599945,0.02190850718428273,0.08850859032600016,0.017551932402824863,0.19717886189779668,0.09408591036428929,0.10178308611513566,0.004356574781457862
updated_20260608_home__20260608_105332,0.16359059138891585,0.004437279826999116,0.008968705422661465,-0.04568567972838566,0.010220595822148158,0.955816763043553,-0.0515536456010921,-0.09067018858623555,0.004511970746409723,0.08503401360544217,0.1644707893722764,0.1658021934009299,0.018104671784686506,0.0455963767444869,0.022472487194868034,0.984337789004073,0.9668424976300104,0.22891516026866324,0.12148149429895634,0.19976193960934743,0.001449029948013952,0.16461414724433718,-0.0681147788440384,0.1881355897243407,0.12003246435094239
