feature,missing_rate,unique_count,std,corr_target_pearson,corr_target_spearman,corr_within_group,corr_between_group,within_variance_ratio,abs_corr_within_group
ts_v1_tv_step_rel,0.0,159,0.0025966689413883604,0.01979101916427987,-0.0029764748029615477,0.31033561031635076,-0.09774021332085817,0.3947073770074302,0.31033561031635076
ts_diff_inner_skew_mad,0.0,159,0.0036816582940911845,-0.37091105204629116,-0.33796274181991887,0.2915596135864693,-0.6005220822145129,0.2575094648921343,0.2915596135864693
ts_diff_center_edge_drift,0.0,159,0.12640730135132028,0.005349405597723061,0.015945187485072846,-0.23384611638906933,0.35378404896835264,0.6802268504461498,0.23384611638906933
ts_v3_start_cv,0.0,159,0.060912542551398934,0.13087407972054574,0.13540721280152856,0.2292070169385782,0.22700310662093487,0.08517662040663584,0.2292070169385782
ts_diff_edge_inner_drift,0.0,159,0.11052543120436342,0.01162995121204684,-0.018037974683544303,0.2224036723375024,-0.3628462182570532,0.7053135156868056,0.2224036723375024
ts_v1_start_cv,0.0,159,0.06144631457205711,0.13611661994099872,0.14014509195127778,0.21373629360318944,0.24033531578828315,0.0958278586858265,0.21373629360318944
ts_diff_inner_skew_p90span,0.0,159,0.027262227787599128,-0.18112686281302465,-0.28449068545497974,0.2125942856779662,-0.25222805988997804,0.4935699572566321,0.2125942856779662
ts_q_start_cv,0.0,159,0.06091591741819768,0.14211752662462945,0.14806842608072607,0.21137507923826768,0.24158654206139624,0.08944622525858825,0.21137507923826768
ts_v2_start_cv,0.0,159,0.06107487324874244,0.13655484651751795,0.1409183186052066,0.20891376724522182,0.24071197171101497,0.09526821580823648,0.20891376724522182
ts_v0_start_cv,0.0,159,0.059941606729295355,0.14181654650306919,0.14899988058275615,0.2054606816405125,0.2412978382117069,0.09321328762494314,0.2054606816405125
ts_v1_mad_rel,0.0,159,0.0029624686412496556,-0.047180154434418906,-0.12459696680200624,0.19677245936823748,-0.2170391509976584,0.4930724243768143,0.19677245936823748
ts_us4_drift_rel,0.0,159,0.0057372932150832525,-0.12832794506285886,-0.3243491760210175,0.1965646128206493,-0.3768970644221706,0.4618712493970133,0.1965646128206493
ts_diff_center_edge_zero_cross,0.0,151,0.04928777611767743,0.1110551837548207,0.06744726204599598,-0.18832237858101364,0.19426640323796188,0.5419219151730307,0.18832237858101364
ts_v1_plateau_cv,0.0,159,0.004387537080152196,-0.15225660741743022,-0.285031048483401,0.18007589904450008,-0.5043197342478768,0.6441701491795938,0.18007589904450008
ts_v4_mad_rel,0.0,159,0.0048972879721596,0.08441707597085742,-0.003069023166945307,0.1798293719801508,-0.11218105125794685,0.236075380542836,0.1798293719801508
ts_v4_start_cv,0.0,159,0.06070165755731864,0.13178133348285917,0.13112013374731313,0.17649241139459296,0.22409993635505104,0.09293850697432107,0.17649241139459296
ts_diff_top_bottom_mad,0.0,159,0.007292180414652064,-0.36074325929906925,-0.30355266300453787,-0.17147473101933852,-0.5445143726134001,0.23001001012887048,0.17147473101933852
ts_v4_iqr_rel,0.0,159,0.017194163193004024,0.029377100038402,-0.005582756149988058,0.16865147134694225,-0.15493968403205768,0.5261826814351352,0.16865147134694225
ts_diff_top_bottom_mean,0.0,159,0.0511514830649697,0.1305994621577274,0.1521166706472415,-0.16858506472099183,0.12747289136036913,0.2953125674344118,0.16858506472099183
ts_v0_p90span_rel,0.0,159,0.28985412100443686,0.04084195588005272,0.0404914019584428,-0.16793687098315388,0.23257469666094258,0.22219712831392763,0.16793687098315388
ts_v1_iqr_rel,0.0,159,0.01757294454834038,0.011532039737833115,-0.015918318605206594,0.16632443826434462,-0.10547737856901936,0.6122863852863225,0.16632443826434462
ts_us4_cv,0.0,159,0.012283515127706516,0.13490220809961806,0.2320903988535945,-0.1622888964363156,0.2994225492664746,0.31304540627074223,0.1622888964363156
ts_v2_iqr_rel,0.0,159,0.017841933253876608,-0.029157492771142254,-0.10716204919990448,0.15882851090497538,-0.16211430211909075,0.6100713599219522,0.15882851090497538
ts_diff_inner_skew_mean,0.0,159,0.02549683158643388,0.11396095347154132,0.10551409123477432,-0.15587393764253477,0.1431888613517488,0.5030606683158102,0.15587393764253477
ts_pair_corr_min,0.0,159,0.01958588272511277,0.19061801245006105,0.17607774062574638,0.15180992732095094,0.4407724811479838,0.2745685292286722,0.15180992732095094
ts_v0_mad_rel,0.0,159,0.006574679766542499,-0.35174197935607343,-0.3344847145927872,-0.15151851347209733,-0.5577457087719545,0.37312191787848475,0.15151851347209733
ts_q_p90span_rel,0.0,159,0.2988227302883874,0.0650595434227482,0.06618999283496538,-0.14952091466364403,0.2596958526088647,0.2062034396566078,0.14952091466364403
ts_v4_p90span_rel,0.0,159,0.2898030907132593,0.05596895336128345,0.05995641270599475,-0.1489671108047762,0.239005787734593,0.22561096487751944,0.1489671108047762
ts_v1_drift_rel,0.0,159,0.0628319990600385,0.18745113540291208,0.2139180797707189,0.14657322782218313,0.2024684060861631,0.6183151678924358,0.14657322782218313
ts_v1_p90span_rel,0.0,159,0.2961617794364937,0.0623806136674663,0.06200740386911871,-0.14605270445266688,0.2543603672369494,0.2034112522508134,0.14605270445266688
ts_v0_drift_rel,0.0,159,0.06388102884404946,0.23422416068861088,0.2752119656078338,0.14487219704058235,0.27211612093238396,0.6063166310446665,0.14487219704058235
ts_v4_plateau_cv,0.0,159,0.0058387868650239694,-0.07497355458662505,-0.094942679722952,0.1440740709924372,-0.3747386028557135,0.3214665587177434,0.1440740709924372
ts_v2_p90span_rel,0.0,159,0.2944755859423551,0.057687156257707754,0.05847265345115835,-0.1422142807955689,0.25008988265291693,0.20774337741476678,0.1422142807955689
ts_v0_tv_step_rel,0.0,159,0.006189376122710489,-0.29875192694365726,-0.2929902077860043,-0.1420440215776235,-0.4577252057412839,0.3368233771546267,0.1420440215776235
ts_diff_alternating_std,0.0,159,0.1273767599904881,0.03132384795971899,0.016270599474564128,0.14090514584339384,0.018356500111623545,0.7149011386495668,0.14090514584339384
ts_v3_p90span_rel,0.0,159,0.29308198285613274,0.054296766863648635,0.05572904227370433,-0.14016752111527878,0.2504705945832919,0.22977898311030334,0.14016752111527878
ts_v2_drift_rel,0.0,159,0.06296743575410228,0.18587396220880292,0.21675125388106045,0.13789429396893718,0.1984519006412836,0.6192576231018324,0.13789429396893718
ts_q_drift_rel,0.0,159,0.06289330402034408,0.19582722166306238,0.23366372104131838,0.1365821738779532,0.20869917038324734,0.6161842474228181,0.1365821738779532
ts_diff_alternating_lag1,0.0,159,0.4245369161046233,0.08442838006658893,0.11322545975638883,0.12934338528132225,0.08722141581176138,0.7062384081778711,0.12934338528132225
ts_v3_drift_rel,0.0,159,0.06315526541114407,0.17830855747204769,0.21891867685693814,0.12874018759741906,0.17230417607789694,0.6087290367078732,0.12874018759741906
ts_volume_trapz_m3,0.0,159,13.200689799288103,0.5615108692473679,0.4858132314306186,-0.12756914994724894,0.655039152690341,0.0015733014056223858,0.12756914994724894
ts_v0_lag1,0.0,159,0.029176510211776644,0.12875436612172583,0.06912765703367567,0.12719557297448894,0.25043070519671423,0.2372009759002759,0.12719557297448894
ts_q_iqr_rel,0.0,159,0.019689385280908585,0.06338289050059573,0.15623656556006688,0.12708436832251593,0.035072669126788976,0.612586251418063,0.12708436832251593
ts_v3_iqr_rel,0.0,159,0.017086836173898494,-0.06501119583709769,-0.15223907332218772,0.12546621954948917,-0.24165790472104118,0.6188333040974455,0.12546621954948917
ts_diff_alternating_mean,0.0,159,0.03185400883755519,0.11850040470609521,0.14400226892763315,-0.12220507752003161,0.10811198639506282,0.22701741062230812,0.12220507752003161
ts_channel_drift_abs_mean,0.0,159,0.0544686566329469,-0.11596017530090379,-0.15243611177454025,-0.11748230009620977,-0.07764202523807234,0.652641262609474,0.11748230009620977
ts_v4_drift_rel,0.0,159,0.06522063053951235,0.1832956109780753,0.23795975638882255,0.11660976540469702,0.18786913579496595,0.6193729401357267,0.11660976540469702
ts_q_negative_frac,0.0,22,0.002260234524524579,0.17417703216884445,0.17909339463697577,0.11434714594723784,0.17505212024521222,0.7183035641995918,0.11434714594723784
ts_channel_drift_abs_max,0.0,159,0.05566580227400364,-0.12625753807827422,-0.1758060663959876,-0.11293525633623058,-0.09215943219033375,0.6588354984684447,0.11293525633623058
ts_us3_drift_rel,0.0,159,0.0025986476611430122,0.09768744744402506,-0.2592160257941247,0.11200248756558896,0.1832223543136011,0.675331028975226,0.11200248756558896
ts_diff_edge_inner_mad,0.0,159,0.003446284992529854,-0.4364850172444451,-0.3730952949605923,-0.11178953803108481,-0.6317541487794485,0.28008571617154204,0.11178953803108481
