model,pass,total,u_L,u_r,u_d,MAE
phys6,5,30,0.4408261150536457,0.12240215640530121,0.296865273277988,0.18069753889977086
h1_fine_v2,8,30,0.033029309090681996,0.1167119995411109,0.2677719766534352,0.121059042111785
