window_id,model_volume_m3
updated_20260607_home__20260607_093346,82.27644504386852
updated_20260607_home__20260607_104833,83.33057841809052
updated_20260607_home__20260607_111129,83.56585540126386
updated_20260607_home__20260607_113256,82.8489354982407
updated_20260607_home__20260607_115557,81.93745266974346
updated_20260607_home__20260607_122116,82.27729927253252
updated_20260607_home__20260607_124409,83.08719097838659
updated_20260607_home__20260607_133216,85.16607072498736
updated_20260607_home__20260607_135505,83.10992587283303
updated_20260607_home__20260607_141757,81.47509309355071
updated_20260608_home__20260608_090825,83.52677032882796
updated_20260608_home__20260608_093103,81.59484024275736
updated_20260608_home__20260608_103248,81.08260590392763
updated_20260608_home__20260608_105332,81.32212723848684
updated_20260608_home__20260608_112156,84.3107805036009
updated_20260608_home__20260608_130102,81.5164562457972
updated_20260608_home__20260608_135520,82.10342818273266
updated_20260608_home__20260608_155232,83.73677330492326
updated_20260608_home__20260608_161457,83.15790445834669
updated_20260608_home__20260608_163905,82.06188636179031
updated_20260608_home__20260608_170026,82.1381352135349
updated_20260608_home__20260608_174749,81.61500223726932
updated_20260608_home__20260608_181045,82.98117089879095
updated_20260609_home__20260609_083150,82.93587590339928
updated_20260609_home__20260609_085806,83.51794632816149
updated_20260609_home__20260609_093941,81.00933269706098
updated_20260609_home__20260609_094422,42.21116299881911
updated_20260609_home__20260609_101255,82.01875950232659
updated_20260609_home__20260609_110218,80.85622406067962
updated_20260609_home__20260609_112709,83.52312194068004
updated_20260609_home__20260609_124246,83.2116087127847
updated_20260609_home__20260609_130119,82.41482272870105
updated_20260609_home__20260609_132339,81.41080524951553
updated_20260609_home__20260609_133044,41.990358588623735
updated_20260609_home__20260609_153413,83.6914175111136
updated_20260609_home__20260609_155607,81.9962998123444
updated_20260609_home__20260609_161953,81.18915011817589
updated_20260609_home__20260609_165100,81.68257439720301
updated_20260609_home__20260609_171653,80.58075156012038
updated_20260609_home__20260609_174154,81.68084745851299
updated_20260610_home__20260610_092743,82.89167448832177
updated_20260610_home__20260610_095019,83.03674183777837
updated_20260610_home__20260610_102055,41.92409589629409
updated_20260610_home__20260610_104537,81.06213221669735
updated_20260610_home__20260610_110929,81.21424059570835
updated_20260610_home__20260610_131744,83.61123350882073
updated_20260610_home__20260610_133459,83.46397644749649
updated_20260610_home__20260610_142511,32.849512064871654
updated_20260610_home__20260610_151635,81.12269502503285
updated_20260610_home__20260610_153802,81.17148383482886
updated_20260610_home__20260610_164855,81.66344270181663
updated_20260610_home__20260610_171120,81.48070340924708
updated_20260610_home__20260610_174255,81.84926454099298
updated_20260610_home__20260610_183250,80.5833219931753
updated_20260612_home__20260612_080630,84.5238430916185
updated_20260612_home__20260612_082527,83.02296303509118
updated_20260612_home__20260612_090916,80.93639704622908
updated_20260612_home__20260612_091443,41.93196256697013
updated_20260612_home__20260612_094031,81.41418039132408
updated_20260612_home__20260612_103120,81.29242012169084
updated_20260612_home__20260612_105433,82.48433340886015
updated_20260612_home__20260612_112334,42.1679851096976
updated_20260612_home__20260612_124344,82.00367177263642
updated_20260612_home__20260612_130526,81.55694036757278
updated_20260612_home__20260612_132710,80.50803580873564
updated_20260612_home__20260612_134855,81.64832555747806
updated_20260612_home__20260612_143802,83.34671827964199
updated_20260612_home__20260612_150041,82.75407361226557
updated_20260612_home__20260612_152235,81.95546400292758
updated_20260612_home__20260612_155813,42.27463580761779
updated_20260612_home__20260612_161743,82.30276841970054
updated_20260612_home__20260612_164251,80.99767368984347
updated_20260613_home__20260613_080944,83.19905581627098
updated_20260613_home__20260613_085407,81.5077491155006
updated_20260613_home__20260613_090136,42.46358322021667
updated_20260613_home__20260613_092646,82.11823597244695
updated_20260613_home__20260613_102710,81.8857071781176
updated_20260613_home__20260613_105317,80.64273655377576
updated_20260613_home__20260613_111857,82.05116100017919
updated_20260613_home__20260613_115341,83.75547259352244
updated_20260613_home__20260613_124351,82.36520031884162
updated_20260613_home__20260613_125939,81.42112142609922
updated_20260613_home__20260613_131135,42.206488927672595
updated_20260613_home__20260613_133232,81.79886649832306
updated_20260613_home__20260613_140329,80.82937097120474
updated_20260613_home__20260613_142315,81.61378662682037
updated_20260613_home__20260613_144932,83.24371769568714
updated_20260613_home__20260613_150948,83.28914317644113
updated_20260613_home__20260613_153216,82.80680470168154
updated_20260613_home__20260613_155444,81.68350509757698
updated_20260613_home__20260613_160152,42.16551815953824
updated_20260613_home__20260613_163055,82.9102190524324
updated_20260613_home__20260613_165521,80.97972594342134
updated_20260613_home__20260613_172018,81.22536602338772
updated_20260613_home__20260613_175512,83.60914421348981
updated_20260613_home__20260613_183906,81.70258751693224
updated_20260613_home__20260613_185023,42.68455837765458
updated_20260613_home__20260613_191132,81.38409486228251
updated_20260613_home__20260613_193810,83.4659846080618
updated_20260613_home__20260613_200311,81.11838201639603
updated_20260614_home__20260614_074215,82.91121193464421
updated_20260614_home__20260614_081037,42.728304875336306
updated_20260614_home__20260614_104000,83.3640469234236
updated_20260614_home__20260614_112510,81.47650905212157
updated_20260614_home__20260614_114805,81.67970388439221
updated_20260614_home__20260614_120820,81.49917035695039
updated_20260614_home__20260614_122724,81.35107795449518
updated_20260614_home__20260614_125733,83.94697029492353
updated_20260614_home__20260614_132044,81.93230096216207
updated_20260614_home__20260614_134301,82.07663979161377
updated_20260614_home__20260614_140554,81.29655987246866
updated_20260614_home__20260614_141152,42.06936420225667
updated_20260614_home__20260614_143655,80.88761540505678
updated_20260614_home__20260614_150839,81.27984837281944
updated_20260614_home__20260614_152508,81.60129606606284
updated_20260614_home__20260614_160338,82.65783651025907
updated_20260614_home__20260614_162605,81.74742117719335
updated_20260614_home__20260614_164616,82.1978551097615
updated_20260614_home__20260614_170947,81.5431427915564
updated_20260614_home__20260614_172958,42.08152882932541
updated_20260614_home__20260614_174251,80.41936707134779
updated_20260614_home__20260614_180540,80.95243072178162
updated_20260614_home__20260614_183026,80.43731693340517
updated_20260614_home__20260614_185836,81.79594548200136
updated_20260614_home__20260614_191724,81.38925095150698
updated_20260614_home__20260614_202100,80.35416393536279
updated_20260614_home__20260614_204622,81.64397650935757
updated_20260614_home__20260614_211209,81.77705539880161
updated_20260614_home__20260614_211852,42.29532631521443
updated_20260615_home__20260615_082503,82.19248042019376
updated_20260615_home__20260615_084347,81.76739968127197
updated_20260615_home__20260615_090717,82.02421344836559
updated_20260615_home__20260615_091320,41.97270030480356
updated_20260615_home__20260615_093814,80.88079824686558
updated_20260615_home__20260615_100425,80.6424610006988
updated_20260615_home__20260615_102727,80.52165798911824
updated_20260615_home__20260615_110318,84.11350303208741
updated_20260615_home__20260615_112244,83.68751600572934
updated_20260615_home__20260615_112934,42.34082633310834
updated_20260615_home__20260615_124408,81.33185853987767
updated_20260615_home__20260615_130315,80.61453597083072
updated_20260615_home__20260615_132331,81.25251433955997
updated_20260615_home__20260615_134958,80.9660471033823
updated_20260615_home__20260615_141432,80.90913977240612
updated_20260615_home__20260615_143858,83.9116656017107
updated_20260615_home__20260615_150101,83.30417632274542
updated_20260615_home__20260615_152340,82.26619443897383
updated_20260615_home__20260615_154558,81.62508172403072
updated_20260615_home__20260615_155125,42.38053953888648
updated_20260615_home__20260615_161951,81.83361725835671
updated_20260615_home__20260615_164538,81.29315895974977
updated_20260615_home__20260615_171343,81.13480886808085
updated_20260615_home__20260615_173454,83.66414909280886
updated_20260615_home__20260615_175827,82.61798299903249
updated_20260615_home__20260615_181821,81.40809606347509
updated_20260615_home__20260615_184806,42.302019354156506
updated_20260615_home__20260615_191512,81.64329133495613
updated_20260615_home__20260615_194133,82.24545559533615
updated_20260615_home__20260615_200106,82.08905985151006
