model,mae_pct,disturbed_mae_pct,mean_error_pct,group_pass,max_group_sd_pct,u_nor_d_pct
base_phys6,0.18069753889977186,0.16673078844740347,-0.136498265914025,5/30,0.1224021564053051,0.2968652732780043
comp_to_d0,0.41045454846905144,0.4119077315448226,-0.41045454846905144,0/30,0.12219638602299822,0.20340282254381448
comp_to_zero,0.11843148172776512,0.10028580126385263,-0.02431823100516929,8/30,0.12268352460669205,0.374755555277482
