window_id,disturbance_id,flow_point,disturbance_flag,true_is_disturbed,online_class,true_class,class_correct,mahalanobis_A,mahalanobis_B
updated_20260612_home__20260612_090916,D8,60,True,True,B,B,True,7.707825543181328,1.8268578275975247
updated_20260612_home__20260612_091443,D8,20,True,True,B,B,True,7.200629219805925,1.2678060398054123
updated_20260612_home__20260612_094031,D8,50,True,True,B,B,True,7.528227725013274,1.6034313331722152
updated_20260612_home__20260612_103120,D8,30,True,True,B,B,True,7.605162364332764,1.6013676566887656
updated_20260612_home__20260612_105433,D8,80,True,True,B,B,True,7.489260277367393,1.7484990370780644
updated_20260612_home__20260612_112334,D8,20,True,True,B,B,True,7.436544554892537,1.4681078557302691
updated_20260612_home__20260612_124344,D8,60,True,True,B,B,True,7.6126751544770865,1.6566258286642261
updated_20260612_home__20260612_130526,D8,50,True,True,B,B,True,7.4802533866450895,1.7212940800001681
updated_20260612_home__20260612_132710,D8,50,True,True,B,B,True,7.632521669211459,1.6932865989704993
updated_20260612_home__20260612_134855,D8,40,True,True,B,B,True,7.507493092244133,1.6554862319374386
updated_20260612_home__20260612_143802,D8,70,True,True,B,B,True,7.567820160770172,1.8424545571197122
updated_20260612_home__20260612_150041,D8,70,True,True,B,B,True,7.61371871085084,1.7178371542312079
updated_20260612_home__20260612_152235,D8,60,True,True,B,B,True,7.341140614981934,1.732363316941738
updated_20260612_home__20260612_155813,D8,20,True,True,B,B,True,7.358625088898123,1.522509485519946
updated_20260612_home__20260612_161743,D8,40,True,True,B,B,True,7.44537629129957,1.5800627386988695
updated_20260612_home__20260612_164251,D8,40,True,True,B,B,True,7.542907741461378,1.5674090755466246
updated_20260613_home__20260613_080944,D4,70,True,True,B,B,True,5.505465044906259,0.6923439659461448
updated_20260613_home__20260613_085407,D4,50,True,True,B,B,True,5.086376166592309,1.0060181842239642
updated_20260613_home__20260613_090136,D4,20,True,True,B,B,True,4.470853606791747,1.48412499503397
updated_20260613_home__20260613_092646,D4,50,True,True,B,B,True,5.390276386345566,0.7809394066529649
updated_20260613_home__20260613_102710,D4,40,True,True,B,B,True,4.825968463327963,1.2073651895723354
updated_20260613_home__20260613_105317,D4,30,True,True,B,B,True,4.971608967084519,1.0947156768016852
updated_20260613_home__20260613_111857,D4,70,True,True,B,B,True,5.496907786636194,0.7312999680647212
updated_20260613_home__20260613_115341,D4,70,True,True,B,B,True,5.428924578602354,0.7469054512348678
