window_id,model_volume_m3
updated_20260607_home__20260607_093346,82.12600542282799
updated_20260607_home__20260607_104833,83.25642956742124
updated_20260607_home__20260607_111129,83.48565899304933
updated_20260607_home__20260607_113256,82.69684182456163
updated_20260607_home__20260607_115557,81.78240744695367
updated_20260607_home__20260607_122116,82.13358213209919
updated_20260607_home__20260607_124409,82.88609170191636
updated_20260607_home__20260607_133216,85.08401612091673
updated_20260607_home__20260607_135505,83.02063116561754
updated_20260607_home__20260607_141757,81.32339662154938
updated_20260608_home__20260608_090825,83.76211245032634
updated_20260608_home__20260608_093103,81.91005384311369
updated_20260608_home__20260608_103248,81.32590067327561
updated_20260608_home__20260608_105332,81.42070751173982
updated_20260608_home__20260608_112156,84.53981002556702
updated_20260608_home__20260608_130102,81.82257978676068
updated_20260608_home__20260608_135520,82.41917524488856
updated_20260608_home__20260608_155232,83.99701130141393
updated_20260608_home__20260608_161457,83.41551629404097
updated_20260608_home__20260608_163905,82.35410722117938
updated_20260608_home__20260608_170026,82.44744771671506
updated_20260608_home__20260608_174749,81.84929974401054
updated_20260608_home__20260608_181045,83.1118216989616
updated_20260609_home__20260609_083150,83.38751967230586
updated_20260609_home__20260609_085806,83.90243069457776
updated_20260609_home__20260609_093941,81.42161003728653
updated_20260609_home__20260609_094422,42.24718584714461
updated_20260609_home__20260609_101255,82.46007583839774
updated_20260609_home__20260609_110218,81.11802017280976
updated_20260609_home__20260609_112709,83.89570148263344
updated_20260609_home__20260609_124246,83.58815135906967
updated_20260609_home__20260609_130119,82.8702254809029
updated_20260609_home__20260609_132339,81.85057277103246
updated_20260609_home__20260609_133044,42.033020217018695
updated_20260609_home__20260609_153413,84.0734022260024
updated_20260609_home__20260609_155607,82.4347727268547
updated_20260609_home__20260609_161953,81.64525648536126
updated_20260609_home__20260609_165100,82.11366119654183
updated_20260609_home__20260609_171653,80.92388387586287
updated_20260609_home__20260609_174154,81.94866279643304
updated_20260610_home__20260610_092743,83.07258870243982
updated_20260610_home__20260610_095019,83.25792123250349
updated_20260610_home__20260610_102055,41.8582940542675
updated_20260610_home__20260610_104537,81.30610216792685
updated_20260610_home__20260610_110929,81.40673986347093
updated_20260610_home__20260610_131744,83.809014972493
updated_20260610_home__20260610_133459,83.68578166840005
updated_20260610_home__20260610_142511,32.770773763297036
updated_20260610_home__20260610_151635,81.31846214964227
updated_20260610_home__20260610_153802,81.22894263787279
updated_20260610_home__20260610_164855,81.91644585324049
updated_20260610_home__20260610_171120,81.7567572190773
updated_20260610_home__20260610_174255,82.10015024239381
updated_20260610_home__20260610_183250,80.6327343719922
updated_20260612_home__20260612_080630,84.76079981446661
updated_20260612_home__20260612_082527,83.25868973382258
updated_20260612_home__20260612_090916,81.24988772938289
updated_20260612_home__20260612_091443,41.90387298292596
updated_20260612_home__20260612_094031,81.72859964165968
updated_20260612_home__20260612_103120,81.435133402754
updated_20260612_home__20260612_105433,82.70490874873094
updated_20260612_home__20260612_112334,42.12911313214045
updated_20260612_home__20260612_124344,82.29711245722451
updated_20260612_home__20260612_130526,81.85090163829616
updated_20260612_home__20260612_132710,80.81006653923289
updated_20260612_home__20260612_134855,81.9123585315909
updated_20260612_home__20260612_143802,83.57144462177676
updated_20260612_home__20260612_150041,83.01398594654103
updated_20260612_home__20260612_152235,82.29039881101306
updated_20260612_home__20260612_155813,42.249979359330695
updated_20260612_home__20260612_161743,82.50606971820858
updated_20260612_home__20260612_164251,81.18741044727864
updated_20260613_home__20260613_080944,83.41311072621963
updated_20260613_home__20260613_085407,81.76220529551112
updated_20260613_home__20260613_090136,42.415861180332236
updated_20260613_home__20260613_092646,82.38626980690661
updated_20260613_home__20260613_102710,82.08562676115005
updated_20260613_home__20260613_105317,80.7104537997597
updated_20260613_home__20260613_111857,82.2494324679101
updated_20260613_home__20260613_115341,83.93364600233653
updated_20260613_home__20260613_124351,82.60874172752425
updated_20260613_home__20260613_125939,81.66556656582321
updated_20260613_home__20260613_131135,42.147827141354774
updated_20260613_home__20260613_133232,81.9690813280584
updated_20260613_home__20260613_140329,80.9068926221334
updated_20260613_home__20260613_142315,81.65474936137636
updated_20260613_home__20260613_144932,83.41570587212831
updated_20260613_home__20260613_150948,83.48905253612178
updated_20260613_home__20260613_153216,83.05858092511463
updated_20260613_home__20260613_155444,81.94837514202982
updated_20260613_home__20260613_160152,42.10382498912681
updated_20260613_home__20260613_163055,83.11368317924996
updated_20260613_home__20260613_165521,81.1465737695675
updated_20260613_home__20260613_172018,81.25510239041813
updated_20260613_home__20260613_175512,83.78300647187983
updated_20260613_home__20260613_183906,81.9740047099085
updated_20260613_home__20260613_185023,42.64754020339437
updated_20260613_home__20260613_191132,81.64959336824234
updated_20260613_home__20260613_193810,83.65513088174906
updated_20260613_home__20260613_200311,81.16493531901672
updated_20260614_home__20260614_074215,83.11543547047474
updated_20260614_home__20260614_081037,42.68661410392769
updated_20260614_home__20260614_104000,83.53735602456666
updated_20260614_home__20260614_112510,81.73070309606935
updated_20260614_home__20260614_114805,81.94497431468822
updated_20260614_home__20260614_120820,81.67762543896936
updated_20260614_home__20260614_122724,81.43725419914817
updated_20260614_home__20260614_125733,84.13480071860282
updated_20260614_home__20260614_132044,82.10465635179365
updated_20260614_home__20260614_134301,82.3291977320263
updated_20260614_home__20260614_140554,81.55960682781551
updated_20260614_home__20260614_141152,42.03049289274973
updated_20260614_home__20260614_143655,81.13165249450441
updated_20260614_home__20260614_150839,81.4491018236049
updated_20260614_home__20260614_152508,81.67677489073309
updated_20260614_home__20260614_160338,82.98606695382844
updated_20260614_home__20260614_162605,82.0549818077947
updated_20260614_home__20260614_164616,82.56267792316892
updated_20260614_home__20260614_170947,81.90384770555883
updated_20260614_home__20260614_172958,42.09154451236169
updated_20260614_home__20260614_174251,80.73061256171843
updated_20260614_home__20260614_180540,81.24549307756814
updated_20260614_home__20260614_183026,80.62741717540376
updated_20260614_home__20260614_185836,82.13664282225822
updated_20260614_home__20260614_191724,81.71769574093614
updated_20260614_home__20260614_202100,80.73105496834597
updated_20260614_home__20260614_204622,81.94990620839008
updated_20260614_home__20260614_211209,81.98020553552212
updated_20260614_home__20260614_211852,42.28363137295099
updated_20260615_home__20260615_082503,82.52318786801015
updated_20260615_home__20260615_084347,82.15889254521102
updated_20260615_home__20260615_090717,82.38470738373879
updated_20260615_home__20260615_091320,41.97070295601714
updated_20260615_home__20260615_093814,81.22372146268474
updated_20260615_home__20260615_100425,80.92339434422921
updated_20260615_home__20260615_102727,80.70866701343213
updated_20260615_home__20260615_110318,84.3886790159474
updated_20260615_home__20260615_112244,83.9539390356972
