date,flow_point,n,mean_error_pct,sd_pct,pass_group
20260607,60,3,-0.1881199881075145,0.02505097678018481,True
20260608,60,5,-0.16650700788530653,0.056095716948209015,False
20260608,70,3,0.003863213637622672,0.040993034810365835,False
20260609,50,3,-0.25579092970235684,0.045936500089121896,False
20260609,60,5,-0.18373786489965463,0.05385170904562451,False
20260609,70,4,-0.05868527755736991,0.028283366257155378,True
20260610,70,3,-0.013580987170516055,0.008392120415858828,True
20260612,20,3,0.025635651219958935,0.052174834376763166,False
20260612,40,3,-0.19715714208267263,0.020721311781380595,True
20260612,50,3,-0.16354309060563113,0.06232833595166138,False
20260612,60,3,-0.1999625482477371,0.04753540761901633,False
20260612,70,3,-0.11447001776721015,0.10981905352234522,False
20260613,20,4,0.21136622761595047,0.09938831185334064,False
20260613,30,5,0.16980989563114596,0.09532116251650466,False
20260613,40,4,0.08663909905241075,0.05831446997374442,False
20260613,50,4,-0.0495050339112377,0.11863386595050009,False
20260613,60,5,0.0700738388520963,0.07262534910914474,False
20260613,70,6,0.13698318634843246,0.09732402443397978,False
20260614,20,4,0.1894196939723946,0.05604184466709657,False
20260614,30,4,0.10383171368424701,0.09255152230306432,False
20260614,40,5,0.020124674940575932,0.06379637880634151,False
20260614,50,3,-0.02391869719378804,0.03225994845637417,True
20260614,60,5,0.03114263143707177,0.05136750170957097,False
20260614,70,6,0.14955040923022836,0.056748331234741684,False
20260615,20,4,0.31921208183158833,0.06909692152323586,False
20260615,30,4,0.19727532541965448,0.04195144882781653,False
20260615,40,4,0.11978295986290402,0.028534697438204498,True
20260615,50,5,0.09224709051964908,0.032370025000322655,True
20260615,60,6,0.09098359877450964,0.07754700324593707,False
20260615,70,5,0.14819986708650362,0.02933153076620012,True
