window_id,base_volume_m3,model_volume_m3,zero_bias_volume_m3,base_error_pct,model_error_pct,zero_bias_error_pct,online_class,flow_point
updated_20260607_home__20260607_093346,82.45872240728887,82.45872240728887,82.45872240728887,0.28083252536109743,0.28083252536109743,0.28083252536109743,D0,50
updated_20260607_home__20260607_104833,83.56338860511725,83.56338860511725,83.56338860511725,0.25745854183534345,0.25745854183534345,0.25745854183534345,D0,80
updated_20260607_home__20260607_111129,83.7883187681676,83.7883187681676,83.7883187681676,0.26256031629900584,0.26256031629900584,0.26256031629900584,D0,70
updated_20260607_home__20260607_113256,83.00702194288726,83.00702194288726,83.00702194288726,0.21529004184209768,0.21529004184209768,0.21529004184209768,D0,60
updated_20260607_home__20260607_115557,82.09566965022934,82.09566965022934,82.09566965022934,0.17958797321408448,0.17958797321408448,0.17958797321408448,D0,60
updated_20260607_home__20260607_122116,82.45782316196373,82.45782316196373,82.45782316196373,0.15696023248753932,0.15696023248753932,0.15696023248753932,D0,50
updated_20260607_home__20260607_124409,83.2218049525503,83.2218049525503,83.2218049525503,0.15995512342840645,0.15995512342840645,0.15995512342840645,D0,40
updated_20260607_home__20260607_133216,85.40758037358215,85.40758037358215,85.40758037358215,0.3032086821306428,0.3032086821306428,0.3032086821306428,D0,80
updated_20260607_home__20260607_135505,83.33330765846789,83.33330765846789,83.33330765846789,0.27001639832542873,0.27001639832542873,0.27001639832542873,D0,70
updated_20260607_home__20260607_141757,81.63346832494314,81.63346832494314,81.63346832494314,0.17802328299873266,0.17802328299873266,0.17802328299873266,D0,60
updated_20260608_home__20260608_090825,84.17949165878325,83.98643392372789,83.76338179032926,0.540076723820366,0.3094975279602798,0.04309441523763782,A,70
updated_20260608_home__20260608_093103,82.3144835159178,82.15300092360918,81.99641474879107,0.37519268635991376,0.17827902516521302,-0.012663890322424987,A,60
updated_20260608_home__20260608_103248,81.75379211804116,81.49091929936255,81.36077856558565,0.35215789239699324,0.02948350724349383,-0.13026325343709894,A,40
updated_20260608_home__20260608_105332,81.89619024881682,81.53321244602428,81.40300417022935,0.576333188193114,0.13056182419357257,-0.02934635823131145,A,30
updated_20260608_home__20260608_112156,84.96178381266311,84.73978260632366,84.5028925952812,0.4658792266833343,0.20336653705506405,-0.0767519135165032,A,80
updated_20260608_home__20260608_130102,82.22045997862772,82.05916183945409,81.90275452484887,0.3090996004832593,0.11231559912951601,-0.07850158801656827,A,60
updated_20260608_home__20260608_135520,82.83389973569444,82.67139816502292,82.51382390893988,0.24943146942609049,0.052764523590036305,-0.13793915735395323,A,60
updated_20260608_home__20260608_155232,84.39912310599617,84.20556166690423,83.98192757153485,0.48854502742766903,0.258084014659375,-0.008182553465633272,A,70
updated_20260608_home__20260608_161457,83.82417459333996,83.63193174450605,83.40982110205633,0.4499466059267059,0.21957411500244509,-0.046590178089862856,A,70
updated_20260608_home__20260608_163905,82.76923909738288,82.60686437641081,82.44941312373595,0.3891392645374231,0.19219824327798368,0.0012287973277159195,A,60
updated_20260608_home__20260608_170026,82.87863205344753,82.71604272798095,82.55838337797242,0.35069083467233364,0.15382524062641467,-0.03707106518734924,A,60
updated_20260608_home__20260608_174749,82.28356887036384,82.01899259665831,81.8880085315386,0.35952333777764667,0.03682526962013088,-0.1229332158311807,A,40
updated_20260608_home__20260608_181045,83.57369539005147,83.20328260000875,83.07040722759537,0.5106433984871332,0.06516318277497167,-0.09464055823170239,A,30
updated_20260609_home__20260609_083150,83.73538104973235,83.57111097450014,83.41182183782009,0.2240395959845447,0.027422463320753113,-0.16323291486819486,A,60
updated_20260609_home__20260609_085806,84.24333384540537,84.05012969430845,83.82690839695259,0.37536068930906613,0.1451592541591568,-0.12080740709320167,A,70
updated_20260609_home__20260609_093941,81.75921757812482,81.60127848267425,81.42304638253302,0.13670650224234596,-0.05673347082553677,-0.27502782380251334,A,50
updated_20260609_home__20260609_094422,42.479162444136,42.21261505279034,42.14520164348235,0.5500119396877421,-0.08091724629950625,-0.24048769733482386,A,20
updated_20260609_home__20260609_101255,82.80940483464717,82.64943703062694,82.46891556072637,0.21966531237895587,0.0260650828920315,-0.19241011725291815,A,50
updated_20260609_home__20260609_110218,81.49274016468672,81.1315505210824,81.00198369807869,0.37498034160922733,-0.0698985924296916,-0.22948664021947618,A,30
updated_20260609_home__20260609_112709,84.2479969116666,84.05478206626643,83.83154841308782,0.37995988479156656,0.14974790182001366,-0.11623094601537395,A,70
updated_20260609_home__20260609_124246,83.92846985727252,83.73598781707459,83.51360082131524,0.3340982645010899,0.1039914608358574,-0.16186586651934198,A,70
updated_20260609_home__20260609_130119,83.19929051738524,83.036072131785,82.87780279577952,0.3013774888820552,0.10460863658284182,-0.08619386085292799,A,60
updated_20260609_home__20260609_132339,82.19512147823585,82.0338730475285,81.87751393414722,0.17796840944733336,-0.018558341860537,-0.20912607920474305,A,60
updated_20260609_home__20260609_133044,42.25271522528212,41.98758874037599,41.92053469735898,0.5153076172197687,-0.11540380678513742,-0.27491918289521716,A,20
updated_20260609_home__20260609_153413,84.4223469357049,84.22873223494703,84.00503660291758,0.32328694693291965,0.09320493800619856,-0.1726237423781218,A,70
updated_20260609_home__20260609_155607,82.77086764917867,82.60848973335249,82.45103538269674,0.21899461094401937,0.022387375411649844,-0.16825840574313938,A,60
updated_20260609_home__20260609_161953,81.99544884307534,81.8345921253857,81.6786128476399,0.2269273889868226,0.030304591119525444,-0.16035628049463327,A,60
updated_20260609_home__20260609_165100,82.47362960573572,82.3143104384992,82.13452094630094,0.14964056730232067,-0.04382439126074395,-0.2621469400258592,A,50
updated_20260609_home__20260609_171653,81.29541550249591,81.03401655738112,80.90460549580104,0.25331792144026405,-0.0690386516449395,-0.22862807275738994,A,40
updated_20260609_home__20260609_174154,82.34494723223172,81.97998046239037,81.84905869952256,0.38357440144888033,-0.061342622920584684,-0.22094433456593293,A,30
updated_20260610_home__20260610_092743,83.478095954706,83.25016117229012,83.02906444049981,0.4663535402392226,0.19203275977081083,-0.07405838867475487,B,70
updated_20260610_home__20260610_095019,83.65327903436413,83.42486591907915,83.20330520442083,0.4606465909738261,0.18634139318281748,-0.07973464006616005,B,70
updated_20260610_home__20260610_102055,42.13598196028763,41.8856629725406,41.81877170464419,0.6951398378487035,0.09693601530549266,-0.06291846681167061,B,20
updated_20260610_home__20260610_104537,81.71952911560297,81.55919913662298,81.3810589454611,0.33189904333371245,0.13505244572442018,-0.08366080273213058,B,50
updated_20260610_home__20260610_110929,81.85525064655806,81.58087136587622,81.45058697894089,0.4492014236954901,0.11249511085668208,-0.047384219085604286,B,40
updated_20260610_home__20260610_131744,84.21982305811913,84.02834652599405,83.79344533408401,0.46513601724341497,0.23672523287521252,-0.0434864719103599,B,80
