window_id,profile_ab_abs,profile_swirl,disturbance_flag,true_is_disturbed,detection_correct
updated_20260613_home__20260613_092646,0.212206282685,0.123841163271,True,True,True
updated_20260613_home__20260613_102710,0.211963532857,0.123823856079,True,True,True
updated_20260613_home__20260613_105317,0.210584673518,0.123283244581,True,True,True
updated_20260613_home__20260613_111857,0.217116103197,0.126863974399,True,True,True
updated_20260613_home__20260613_115341,0.217991878166,0.127564082489,True,True,True
updated_20260613_home__20260613_124351,0.217402314189,0.127546504102,True,True,True
updated_20260613_home__20260613_125939,0.216613184146,0.126650493203,True,True,True
updated_20260613_home__20260613_131135,0.208656077567,0.122522886195,True,True,True
updated_20260613_home__20260613_133232,0.217205990956,0.126650648859,True,True,True
updated_20260613_home__20260613_140329,0.211877297927,0.12370417079,True,True,True
updated_20260613_home__20260613_142315,0.214157234817,0.124781619853,True,True,True
updated_20260613_home__20260613_144932,0.21936350511,0.128204118269,True,True,True
updated_20260613_home__20260613_150948,0.217190507182,0.126867616141,True,True,True
updated_20260613_home__20260613_153216,0.217492873709,0.127177180487,True,True,True
updated_20260613_home__20260613_155444,0.215112363955,0.125714766238,True,True,True
updated_20260613_home__20260613_160152,0.208710047699,0.122653272487,True,True,True
updated_20260613_home__20260613_163055,0.218993859156,0.127431951968,True,True,True
updated_20260613_home__20260613_165521,0.215058469721,0.125736718417,True,True,True
updated_20260613_home__20260613_172018,0.216137832753,0.125767634173,True,True,True
updated_20260613_home__20260613_175512,0.221877998252,0.127895483033,True,True,True
updated_20260613_home__20260613_183906,0.217737786338,0.125869081482,True,True,True
updated_20260613_home__20260613_185023,0.210441968688,0.121629562642,True,True,True
updated_20260613_home__20260613_191132,0.215641079361,0.124729131504,True,True,True
updated_20260613_home__20260613_193810,0.217301536178,0.125167289437,True,True,True
updated_20260613_home__20260613_200311,0.21647479763,0.125231705623,True,True,True
updated_20260614_home__20260614_074215,0.219517804691,0.126639163755,True,True,True
updated_20260614_home__20260614_081037,0.211256025027,0.122094087902,True,True,True
updated_20260614_home__20260614_104000,0.22223855936,0.128145142149,True,True,True
updated_20260614_home__20260614_112510,0.21825421149,0.126494165212,True,True,True
updated_20260614_home__20260614_114805,0.215084851224,0.124526158363,True,True,True
updated_20260614_home__20260614_120820,0.216949316431,0.125633328508,True,True,True
updated_20260614_home__20260614_122724,0.214500678768,0.123819417518,True,True,True
updated_20260614_home__20260614_125733,0.220880478042,0.127303665448,True,True,True
updated_20260614_home__20260614_132044,0.222833790133,0.128399081876,True,True,True
updated_20260614_home__20260614_134301,0.219415227997,0.12694559712,True,True,True
updated_20260614_home__20260614_140554,0.218650953401,0.126315037076,True,True,True
updated_20260614_home__20260614_141152,0.209881392427,0.121653542381,True,True,True
updated_20260614_home__20260614_143655,0.217947210727,0.125701707559,True,True,True
updated_20260614_home__20260614_150839,0.218333011164,0.12618087484,True,True,True
updated_20260614_home__20260614_152508,0.21540011757,0.124294616019,True,True,True
updated_20260614_home__20260614_160338,0.21047290394,0.121697482988,True,True,True
updated_20260614_home__20260614_162605,0.210763549365,0.122034045599,True,True,True
updated_20260614_home__20260614_164616,0.211522726466,0.12200755889,True,True,True
updated_20260614_home__20260614_170947,0.211329273722,0.122002090527,True,True,True
updated_20260614_home__20260614_172958,0.203252343714,0.117338809593,True,True,True
updated_20260614_home__20260614_174251,0.207888852327,0.120176827738,True,True,True
updated_20260614_home__20260614_180540,0.209382266987,0.120622030693,True,True,True
updated_20260614_home__20260614_183026,0.206359336582,0.118737378504,True,True,True
updated_20260614_home__20260614_185836,0.20707478463,0.120339444041,True,True,True
updated_20260614_home__20260614_191724,0.208985040616,0.121302570719,True,True,True
updated_20260614_home__20260614_202100,0.207194762642,0.119581077655,True,True,True
updated_20260614_home__20260614_204622,0.208097848352,0.11978647564,True,True,True
updated_20260614_home__20260614_211209,0.206012641764,0.118403433137,True,True,True
updated_20260614_home__20260614_211852,0.208838779569,0.120189104891,True,True,True
updated_20260615_home__20260615_082503,0.209155070966,0.12118181711,True,True,True
updated_20260615_home__20260615_084347,0.209853956499,0.120980578662,True,True,True
updated_20260615_home__20260615_090717,0.211721198207,0.122089417002,True,True,True
updated_20260615_home__20260615_091320,0.205949409631,0.118267539609,True,True,True
updated_20260615_home__20260615_093814,0.210578631476,0.12143140253,True,True,True
updated_20260615_home__20260615_100425,0.209854282424,0.121049452947,True,True,True
updated_20260615_home__20260615_102727,0.206637564732,0.119009799592,True,True,True
updated_20260615_home__20260615_110318,0.211258933535,0.125651323873,True,True,True
updated_20260615_home__20260615_112244,0.21172837024,0.12553491888,True,True,True
updated_20260615_home__20260615_112934,0.205085083345,0.121696332173,True,True,True
updated_20260615_home__20260615_124408,0.211322680693,0.125559913496,True,True,True
updated_20260615_home__20260615_130315,0.210429454774,0.124624738793,True,True,True
updated_20260615_home__20260615_132331,0.208293594695,0.1233444358,True,True,True
updated_20260615_home__20260615_134958,0.207084693682,0.122995281453,True,True,True
