feature,d0_mean,d0_sd,disturbed_mean,disturbed_sd,d0_min,d0_max,disturbed_min,disturbed_max,cohens_d,range_separated
profile_swirl,-0.0060448008740332905,0.00367748280406455,0.12303260841873825,0.0027593139263758252,-0.0115491828212,-8.76593231199e-05,0.116421765098,0.128399081876,39.70419944092625,True
profile_ab_abs,0.011524620919257,0.005943396445952743,0.21006917099318795,0.0060477422145981344,0.00254638342714,0.0207341780389,0.195772963233,0.222833790133,33.113958383582606,True
ab4,0.0404029323774794,0.02801916232269066,-0.7075268868490939,0.2749201752408523,-0.00423925413375,0.0890001451283,-1.17218068624,-0.249464665292,3.8275892279029886,True
ab0,-0.036823872924627,0.0298547500825915,0.671333630719906,0.26415077455281244,-0.0963540798008,0.00281552585459,0.210506729869,1.18141568395,3.7673565348541573,True
ab1,-0.028458339712869995,0.011958532074726861,0.21583000893773024,0.09369233376646069,-0.0526292917792,-0.010807643472,0.0509864977697,0.413651882763,3.657671141824674,True
ab3,0.01013921110740654,0.010121912145779377,-0.2312548278667933,0.09924179162570013,-0.00131339699496,0.032931988056,-0.43013245291,-0.0583518552235,3.42215555237796,True
profile_edge_inner,0.9258048800440001,0.0024168016498366186,0.950318803987557,0.010848462051851731,0.920938188832,0.929250552393,0.922993328932,0.971794399876,3.119187685198095,False
profile_center_all,1.0386922570150001,0.0015689426424823397,1.0255806263885237,0.006002015428300947,1.03694013676,1.04184547403,1.01362351912,1.0407730146,2.9889703889201775,False
zero_rate_med,0.8350824087429001,0.06331169728562601,1.7475220612706037,0.668606559688162,0.696662723853,0.919102161002,1.13615362564,7.38024952462,1.9213661062540195,True
dyn_plateau_cv,0.04374293948865,0.0057478659495317315,0.03264610492891477,0.01073466222580815,0.0364500531017,0.0553829280822,0.0116106289441,0.0658158677963,1.2888016826375803,False
zero_age_s,272.783,263.9733993332577,865.2584093959732,606.5977507462912,48.983,754.983,3.983,4348.891,1.2665590433232305,False
zero_rate_mad,0.12269611192421,0.032763941816909344,0.28371185854118725,0.3105487829701401,0.0956046610399,0.206671759284,0.0286558215993,1.61329642878,0.7292052927121792,False
dyn_active_eq_s,140.4120014432,39.23982100525532,174.30363350332752,60.04911342841003,102.550847432,221.138266317,99.3270095638,295.952291357,0.6681699735058186,False
profile_top_bottom,-0.011781893326176,0.0039324537107265625,-0.029341824983354643,0.050833376193010614,-0.018458040593,-0.00499277059266,-0.111166754872,0.0526995436348,0.4870720569406916,False
ab2,-0.010180580998586,0.003537797593227512,-0.006952568287563342,0.05002053370503051,-0.015993870971,-0.00543094046365,-0.133285970629,0.105477816456,0.09103709397004431,False
profile_inner_skew,0.0036563503542421,0.0016517614598545419,0.0030305576319729867,0.021257674888858928,0.000543019827981,0.00608651999515,-0.0316889955882,0.0356804793772,0.04150712401419018,False
