MAE,pass,total,pass_single,n_single,pass_mixed,n_mixed,u_L,u_r,u_d,version
0.18069753889977086,5,30,1,12,4,18,0.4408261150536457,0.12240215640530121,0.296865273277988,phys6
0.13638149092145382,5,30,3,12,2,18,0.30857014148213235,0.14844041536740887,0.356372966158494,plain (η=1)
0.14396815852335046,8,30,3,12,5,18,0.37461054308552183,0.12620411450098787,0.32147051328813503,fixed η (best)
0.15092825470900856,6,30,1,12,5,18,0.3986867875741266,0.12066797348077468,0.29872643747169925,adaptive τ
