fold,test_date,kernel,tau,inner_pass,sigma_mean,sigma_median,sigma_max
1,20260607,Matern,0.0014563794519386062,9,0.002132384550949203,0.0021323845509492027,0.0021323845509492027
2,20260608,Matern,0.001371474604967796,8,0.0017260275701448244,0.0017432293749041082,0.002058516924749223
3,20260609,Matern,0.001116013310387403,8,0.001206846728253018,0.0011002632458992126,0.0021556047154160916
4,20260610,Matern,0.001072962441649531,9,0.0008043051851529813,0.0007995334396011038,0.0010163166833625382
5,20260612,RBF,0.0005,7,0.0014430492015770323,0.0014093302425462087,0.0019444444497298732
6,20260613,RBF,0.0003,6,0.0008134197931669895,0.0007242382924296056,0.001403926964181329
7,20260614,RBF,0.001356602699280863,7,0.0012388262287504703,0.001066062142068103,0.00198899898956759
8,20260615,Matern,0.0012959318547860548,3,0.001046072565598674,0.001082938374071801,0.0013199300511487011
