model,pass,total,u_L,u_r,u_d,MAE
phys6,5,30,0.4408261150536457,0.12240215640530121,0.296865273277988,0.18069753889977086
h1_shrink,10,30,0.25468908619109787,0.11157351631869177,0.32130718983019724,0.11992641462994351
