MAE,pass,total,u_L,u_r,u_d,version,mean_corr_pct,corr_sd_pct
0.18069753889977086,5,30,0.4408261150536457,0.12240215640530121,0.296865273277988,phys6,,
0.1588353528616575,8,30,0.2941658083758027,0.1225058407436612,0.30874220683641296,S,0.14941998823418357,0.023665007498965784
0.17207871718123616,7,30,0.2964449655175668,0.12135590672524192,0.31536275839143146,SA,0.14418700122448422,0.04145192691050268
0.1720737716309475,8,30,0.2960545120885714,0.12139518518656683,0.3153686768374204,SA-S,0.14381164380370345,0.03882101067693936
